Block,n_estimators,max_depth,Accuracy
Split 1 (70/30),5,,0.778285627225809
Split 1 (70/30),5,1,0.789331352720486
Split 1 (70/30),5,10,0.8128511302824277
Split 1 (70/30),100,,0.8007579653011865
Split 1 (70/30),100,1,0.789331352720486
Split 1 (70/30),100,10,0.8142794568550153
Split 1 (70/30),500,,0.8024338684796892
Split 1 (70/30),500,1,0.789331352720486
Split 1 (70/30),500,10,0.8146222552324364
Split 2 (80/20),5,,0.778923613094898
Split 2 (80/20),5,1,0.7886076672570417
Split 2 (80/20),5,10,0.8128606524595784
Split 2 (80/20),100,,0.802005370507913
Split 2 (80/20),100,1,0.7886076672570417
Split 2 (80/20),100,10,0.8147174770039421
Split 2 (80/20),500,,0.803605096269211
Split 2 (80/20),500,1,0.7886076672570417
Split 2 (80/20),500,10,0.8145460778152317
Split 3 (90/10),5,,0.7787807804376392
Split 3 (90/10),5,1,0.784779752042507
Split 3 (90/10),5,10,0.8130034851168371
Split 3 (90/10),100,,0.7991201508312861
Split 3 (90/10),100,1,0.784779752042507
Split 3 (90/10),100,10,0.8131748843055476
Split 3 (90/10),500,,0.7994629492087071
Split 3 (90/10),500,1,0.784779752042507
Split 3 (90/10),500,10,0.8134605496200651
